"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","RPL3 (pp) RPL7A","false","pp","RPL3 (pp) RPL7A","0.997",,"0.9","0.989",,"0.073","0.999","0.688"
"pp","RPL3 (pp) RPL12","false","pp","RPL3 (pp) RPL12","0.993",,"0.9","0.989",,"0.135","0.999","0.823"
"pp","RPL3 (pp) RPS3A","false","pp","RPL3 (pp) RPS3A","0.999","0.232","0.9","0.991",,,"0.999","0.407"
"pp","RPL3 (pp) RPL21","false","pp","RPL3 (pp) RPL21","0.999",,"0.9","0.99",,,"0.999","0.395"
"pp","RPL3 (pp) RPL27A","false","pp","RPL3 (pp) RPL27A","0.988","0.201","0.9","0.989",,"0.135","0.999","0.556"
"pp","RPL7A (pp) RPS10","false","pp","RPL7A (pp) RPS10","0.994",,"0.9","0.991",,,"0.999","0.206"
"pp","RPL7A (pp) RPS5","false","pp","RPL7A (pp) RPS5","0.995",,"0.9","0.991",,"0.078","0.999","0.369"
"pp","RPL7A (pp) RPS19","false","pp","RPL7A (pp) RPS19","0.995",,"0.9","0.992",,,"0.999","0.806"
"pp","RPL7A (pp) RPL27","false","pp","RPL7A (pp) RPL27","0.993",,"0.9","0.992",,"0.051","0.999","0.395"
"pp","RPL7A (pp) RPL26","false","pp","RPL7A (pp) RPL26","0.994",,"0.9","0.992",,"0.071","0.999","0.62"
"pp","RPL7A (pp) RPL28","false","pp","RPL7A (pp) RPL28","0.992",,"0.9","0.829",,,"0.999","0.422"
"pp","RPL7A (pp) RPLP0","false","pp","RPL7A (pp) RPLP0","0.997",,"0.9","0.992",,"0.076","0.999","0.563"
"pp","RPL7A (pp) RPL30","false","pp","RPL7A (pp) RPL30","0.991",,"0.9","0.991",,,"0.999","0.817"
"pp","RPL7A (pp) RPL35A","false","pp","RPL7A (pp) RPL35A","0.992",,"0.9","0.992",,,"0.999","0.711"
"pp","RPL7A (pp) RPL37A","false","pp","RPL7A (pp) RPL37A","0.969",,"0.9","0.992",,,"0.999","0.702"
"pp","RPL7A (pp) RPL36A","false","pp","RPL7A (pp) RPL36A","0.739",,"0.9","0.956",,,"0.999","0.771"
"pp","RPL7A (pp) RPL9","false","pp","RPL7A (pp) RPL9","0.996",,"0.9","0.992",,"0.074","0.999","0.395"
"pp","RPL7A (pp) RPL17","false","pp","RPL7A (pp) RPL17","0.984",,"0.9","0.989",,"0.07","0.999","0.225"
"pp","RPL7A (pp) RPS18","false","pp","RPL7A (pp) RPS18","0.997",,"0.9","0.992",,"0.115","0.999","0.271"
"pp","RPL7A (pp) RPL31","false","pp","RPL7A (pp) RPL31","0.995",,"0.9","0.962",,,"0.999","0.543"
"pp","RPL7A (pp) RPL14","false","pp","RPL7A (pp) RPL14","0.995",,"0.9","0.991",,"0.051","0.999","0.496"
"pp","RPL7A (pp) RPL24","false","pp","RPL7A (pp) RPL24","0.974",,"0.9","0.991",,"0.078","0.999","0.576"
"pp","RPL7A (pp) RPS6","false","pp","RPL7A (pp) RPS6","0.995",,"0.9","0.991",,"0.116","0.999","0.651"
"pp","RPL7A (pp) RPL11","false","pp","RPL7A (pp) RPL11","0.993",,"0.9","0.992",,"0.11","0.999","0.518"
"pp","RPL7A (pp) RPL10A","false","pp","RPL7A (pp) RPL10A","0.996",,"0.9","0.992",,"0.059","0.999","0.738"
"pp","RPL7A (pp) RPS4X","false","pp","RPL7A (pp) RPS4X","0.997",,"0.9","0.992",,,"0.999","0.593"
"pp","C2 (pp) CFB","false","pp","C2 (pp) CFB","0.172",,"0.9",,,,"0.921","0.123"
"pp","C2 (pp) C4A","false","pp","C2 (pp) C4A","0.092",,"0.9","0.063",,,"0.963","0.621"
"pp","RPL26 (pp) RPS10","false","pp","RPL26 (pp) RPS10","0.991",,"0.9","0.958",,,"0.999","0.796"
"pp","RPL26 (pp) RPS5","false","pp","RPL26 (pp) RPS5","0.99",,"0.9","0.981",,"0.135","0.999","0.334"
"pp","RPL26 (pp) RPS19","false","pp","RPL26 (pp) RPS19","0.992",,"0.9","0.992",,,"0.999","0.823"
"pp","RPL26 (pp) RPL27","false","pp","RPL26 (pp) RPL27","0.997",,"0.9","0.992",,"0.11","0.999","0.741"
"pp","RPL18A (pp) RPS10","false","pp","RPL18A (pp) RPS10","0.996",,"0.9","0.992",,,"0.999","0.517"
"pp","RPL18A (pp) RPS5","false","pp","RPL18A (pp) RPS5","0.997",,"0.9","0.99",,,"0.999","0.128"
"pp","RPL18A (pp) RPS19","false","pp","RPL18A (pp) RPS19","0.996",,"0.9","0.992",,"0.295","0.999","0.437"
"pp","RPL18A (pp) RPL27","false","pp","RPL18A (pp) RPL27","0.995",,"0.9","0.992",,,"0.999","0.429"
"pp","RPL18A (pp) RPL26","false","pp","RPL18A (pp) RPL26","0.991",,"0.9","0.96",,,"0.999","0.346"
"pp","RPL18A (pp) RPL28","false","pp","RPL18A (pp) RPL28","0.995",,"0.9","0.812",,,"0.999","0.429"
"pp","RPL18A (pp) RPLP0","false","pp","RPL18A (pp) RPLP0","0.995",,"0.9","0.99",,"0.219","0.999","0.238"
"pp","RPL18A (pp) RPL30","false","pp","RPL18A (pp) RPL30","0.993",,"0.9","0.992",,,"0.999","0.579"
"pp","RPL18A (pp) RPL35A","false","pp","RPL18A (pp) RPL35A","0.993",,"0.9","0.989",,,"0.999","0.739"
"pp","RPL18A (pp) RPL37A","false","pp","RPL18A (pp) RPL37A","0.964",,"0.9","0.992",,"0.254","0.999","0.771"
"pp","RPL18A (pp) RPL36A","false","pp","RPL18A (pp) RPL36A","0.749",,"0.9","0.956",,,"0.999","0.55"
